Preprocessing,RAFT,VIS,Descriptor,Detection,Others,Total
1.268878937,0.093310356,0.100654125,0.193964481,0.356693268,0.03736496,1.856901646
1.132002592,0.106429338,0.046254158,0.152683496,0.319550753,0.046041489,1.65027833
1.11602807,0.07315588,0.096172571,0.169328451,0.348488808,0.036070824,1.669916153
1.192436934,0.07107687,0.081141472,0.152218342,0.329811335,0.041683912,1.716150522
1.091370821,0.073915243,0.078788757,0.152704,0.336963177,0.038635492,1.619673491
1.09264183,0.093119144,0.09717226,0.190291405,0.33259201,0.036232233,1.651757479
1.118813515,0.056394577,0.067597628,0.123992205,0.326873541,0.038275719,1.607954979
1.192028522,0.093156576,0.084629536,0.177786112,0.349569559,0.037207603,1.756591797
1.091859102,0.076029062,0.077033281,0.153062344,0.334882021,0.036188841,1.615992308
1.065175056,0.059378862,0.07971096,0.139089823,0.359982252,0.036005259,1.60025239
1.116622448,0.093163252,0.0843997,0.177562952,0.344968081,0.038973331,1.678126812
1.09044528,0.075480461,0.09627986,0.171760321,0.335194111,0.035925627,1.633325338
1.041448593,0.074982166,0.085118532,0.160100698,0.354864836,0.036869526,1.593283653
1.223694563,0.066034555,0.087804556,0.153839111,0.501863003,0.062522411,1.941919088
1.026654959,0.079137087,0.085589647,0.164726734,0.493875504,0.040774584,1.72603178
1.014519215,0.067592144,0.090189695,0.157781839,0.340373278,0.035754442,1.548428774
1.116356373,0.079147577,0.098281622,0.177429199,0.340395689,0.037047386,1.671228647
0.990756989,0.073018074,0.077571392,0.150589466,0.343508244,0.036065102,1.5209198
0.96493721,0.087859154,0.096824408,0.184683561,0.316538095,0.035918474,1.502077341
0.992792368,0.060756683,0.067688227,0.12844491,0.371342421,0.036645174,1.529224873
,,,,,,
1.096973169,0.077656853,0.083945119,0.161601973,0.356916499,0.039010119,1.65450176
